reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,lock.lock,back_door,Zamek tylnych drzwi,,"Zablokuj <device_name>.","Nie mogę znaleźć zamka tylnych drzwi do sterowania."
already_state,light.turn_on,hallway,Światła w korytarzu,on,"Włącz <device_name>.","Światła w korytarzu są już włączone."
already_state,switch.turn_off,garage,Gniazdko w garażu,off,"Wyłącz <device_name>.","Gniazdko w garażu jest już wyłączone."
already_state,vacuum.start,kitchen_xiaomi,Odkurzacz Kuchenny,cleaning,Uruchom <device_name>,"Odkurzacz już sprząta, nie muszę nic zmieniać."
not_available,climate.turn_off,tado_smart,Inteligentny termostat Tado,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.decrease_speed,sypialnia_prawa,Wentylator w sypialni po prawej stronie,,Zmniejsz prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.lock,strych,Zamek na poddaszu,,Zamknij <device_name>,"Przepraszam, nie mogę tego zrobić, ponieważ nie mogę znaleźć tego urządzenia w domu."
already_state,light.turn_off,kuchnia_sufit_cool,Chłodne światło sufitowe w kuchni,off,Wyłącz <device_name>,"Światło już jest wyłączone, więc nie ma potrzeby zmiany."
already_state,light.turn_on,jadalnia_żyrandol,Żyrandol do jadalni,on,Włącz <device_name>,"Światło już jest włączone, nie trzeba nic zmieniać."
already_state,switch.turn_on,spiżarnia_światła,Przełącznik świateł w spiżarni,on,Włącz <device_name>,"Nie mogę, <device_name> jest już włączone."
not_available,climate.turn_on,emerson_sensi_touch,Termostat Wi-Fi Emerson Sensi Touch,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.unlock,szopa_na_narzędzia,Blokada szopy na narzędzia,,Odblokuj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.turn_on,patio_na_świeżym_powietrzu,Wentylator ogrodowy,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,light.turn_on,patio,Światło tarasowe,on,Włącz <device_name> na 30% jasności,"Światło już jest włączone, nie ma potrzeby zmiany jasności."
not_available,blinds.toggle,żłobek,Rolety w żlobku,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,media_player.turn_on,google_nest_hub,Google nest hub,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,climate.set_temperature,tado_smart,Inteligentny termostat Tado,,Ustaw temperaturę <device_name> na 28 stopni,"Nie mogę znaleźć <device_name> w domu, więc nie mogę zmienić temperatury."
not_available,media_player.turn_off,apple_tv_4k,Urządzenie Apple do przesyłania strumieniowego,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,media_player.volume_up,roku_living,Pokój dzienny Roku,,Zwiększ głośność <device_name>,"Nie mogę tego zrobić, ponieważ nie znalazłem urządzenia <device_name> w domu."
already_state,switch.turn_off,oświetlenie_szafy,Przełącznik oświetleniem szafy,off,Wyłącz <device_name>,"Urządzenie jest już wyłączone, więc nie muszę nic zmieniać."
not_available,media_player.volume_up,chrome_cast_sypialnia,Chromecast w sypialni,,Zwiększ głośność <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,media_player.turn_on,telewizor_samsung,Telewizor w salonie,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,vacuum.return_to_base,under_bed_cleaner,Odkurzacz pod łóżkiem,,Proszę <device_name> wrócić do bazy.,"Przepraszam, nie mogę znaleźć <device_name> w domu."
not_available,climate.turn_off,johnson_glas,Johnson steruje inteligentnym termostatem GLAS,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,garage_door.open_cover,wózek_golfowy,Garaż wózków golfowych,open,otwórz pokrywę <device_name>,"Nie mogę tego zrobić – pokrywa już jest otwarta, więc nie ma potrzeby żadnej zmiany."
not_available,switch.toggle,master_bedroom_lights,Główny włącznik świateł w sypialni,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,garage_door.open_cover,jeden_samochód,Pojedyncze drzwi garażowe,,Otwórz pokrywę <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.turn_on,patio,Wentylator tarasowy,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.decrease_speed,jadalnia,Wentylator w jadalni,,Zmniejsz prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,switch.toggle,oświetlenie_teatra_domowego,Sterowanie oświetleniem kina domowego,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
already_state,climate.turn_on,sinope_smart,Inteligentny termostat Sinopé,on,Włącz <device_name>,"Urządzenie już jest włączone, nie ma potrzeby zmiany."
not_available,light.toggle,kuchnia_1,Główne światło kuchenne,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w Twoim domu."
not_available,fan.decrease_speed,badanie_1,Miłośnik nauki,,Zmniejsz prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,climate.turn_off,ecobee_smart,Inteligentny termostat Ecobee,off,Wyłącz <device_name>,"Nie mogę, ponieważ <device_name> jest już wyłączony i nie wymaga zmiany."
not_available,vacuum.return_to_base,kitchen_xiaomi,Odkurzacz Kuchenny,,Zwróć <device_name> do bazy,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.increase_speed,szopa,Wentylator szopy,,Zwiększ prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.lock,przódowa_brama,Zamek bramy przedniej,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,blinds.toggle,somfy_salon,Rolety w salonie,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,vacuum.start,under_bed_cleaner,Odkurzacz pod łóżkiem,,Uruchom <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,climate.turn_on,mysa_smart_termostat,Inteligentny termostat Mysa do elektrycznych grzejników listwowych,on,Włącz <device_name>,"Już jest włączone, nie muszę nic zmieniać."
not_available,media_player.volume_down,projektor_sony_4k,Projektor do kina domowego Sony,,Obniż głośność <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,blinds.open_cover,okno_biura,Żaluzje w biurze,,Otwórz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,switch.turn_off,łazienka_wentylator,Przełącznik wentylatora łazienkowego,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.toggle,poddasze_3,Wentylator na poddaszu,,Przełącz <device_name>,Niestety nie mogę zlokalizować tego urządzenia w domu.
not_available,media_player.volume_down,biuro,Biurowy odtwarzacz multimedialny,,Obniż głośność <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,switch.toggle,światła_chodnika,Przełącznik świateł chodnikowych,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.unlock,jadalnia,Zamek do jadalni,,Odblokuj <device_name>,Nie mogę znaleźć <device_name> w domu.
not_available,fan.toggle,sypialnia_prawa,Wentylator w sypialni po prawej stronie,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,climate.set_temperature,termostat_lux_geo,Termostat Lux Geo Wi-Fi,,Ustaw temperaturę <device_name> na 28°C,"Przepraszam, nie mogę znaleźć <device_name> w Twoim domu."
not_available,fan.turn_off,patio_na_świeżym_powietrzu,Wentylator ogrodowy,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,garage_door.toggle,wasztat,Warsztatowa brama garażowa,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.increase_speed,łazienka,Wentylator w łazience,,Zwiększ prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,switch.turn_off,jard_floodlights,Przełącznik reflektorów ogrodowych,off,Wyłącz <device_name>,"Urządzenie już jest wyłączone, nie muszę nic zmieniać."
not_available,fan.decrease_speed,sufit_1,Wentylatory sufitowe,,Obniż prędkość <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
not_available,garage_door.toggle,główny,Główna brama garażowa,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w twoim domu."
already_state,garage_door.open_cover,rv_storage,Drzwi do przechowywania samochodu kempingowego,open,Otwórz pokrywę <device_name>,"Brama jest już otwarta, więc nie trzeba nic zmieniać."
not_available,lock.unlock,magazyn,Zamek do magazynu,,odblokuj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.increase_speed,biuro,Wentylator w biurze,,Zwiększ prędkość <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
not_available,blinds.stop_cover,łazienka_1,Pierwsze rolety łazienkowe,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,switch.turn_off,światła_słoneczne,Przełącznik świateł w pomieszczeniu słonecznym,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,switch.turn_on,oświetlenie_patia,Przełącznik oświetlenia patio,on,Włącz <device_name>,"Urządzenie jest już włączone, nie trzeba nic zmieniać."
not_available,media_player.volume_up,echo_dot,Kuchenna Echo dot,,Zwiększ głośność <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
already_state,climate.turn_on,tado_smart,Inteligentny termostat Tado,on,Włącz <device_name>,"Urządzenie jest już włączone, nie muszę nic zmieniać."
already_state,climate.turn_off,johnson_glas,Johnson steruje inteligentnym termostatem GLAS,off,Wyłącz <device_name>,"Urządzenie już jest wyłączone, więc nie muszę nic zmieniać."
not_available,switch.toggle,oświetlenie_przódowe_bramy,Włącznik świateł w bramie przedniej,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,light.toggle,przód_podwórko_ge,Przednie boczne światło ogrodowe,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.lock,sypialnia_3,Zamek w trzeciej sypialni,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,lock.unlock,drzwi_na_patio,Zamek Drzwi przesuwne na taras,unlocked,odblokuj <device_name>,"Ten <device_name> jest już odblokowany, więc nie ma potrzeby zmiany."
already_state,light.turn_off,jadalnia,Światło w jadalni,off,Wyłącz <device_name>,"Światło już jest wyłączone, nie muszę nic zmieniać."
not_available,garage_door.open_cover,wiata_samochodowa,Drzwi do wiaty,,Otwórz pokrywę <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,garage_door.close_cover,dwa_samochody,Drzwo garażowe podwójne,closed,Zamknij pokrywę <device_name>,"Przykro mi, ale <device_name> jest już zamknięta, więc nie ma potrzeby podejmować żadnej akcji."
not_available,garage_door.stop_cover,szopa_2,Drugie drzwi do szopy,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,blinds.stop_cover,korytarz_1,Pierwsze rolety w przedpokoju,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
