service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
light.turn_on,light.living_room_lamp,Lámpara de la sala,light.livng_room_lamp,"Por favor enciende la <device_name>.","Error: Entidad light.livng_room_lamp no encontrada.","Intentaré con la lámpara de la sala."
climate.set_temperature,climate.hallway,Termostato del pasillo,climate.halway,"Configura el <device_name> a <temp_f> grados.","Error: Entidad climate.halway no encontrada.","Probando de nuevo con el termostato del pasillo."
fan.turn_off,fan.office,Ventilador de la oficina,fan.offce,"Apaga el <device_name>.","Error: Entidad fan.offce no encontrada.","Volveré a intentar con el ventilador de la oficina."
switch.turn_off,switch.luces_sala_de_estudio,Interruptor de luces de sala de estudio,switch.luces_estudio_sala,"Apaga las luces de la sala de estudio, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_estudio_sala', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré apagar el interruptor de luces de la sala de estudio."
switch.turn_on,switch.luces_taller,Interruptor de luces de taller,switch.luces_taller_extra,"Enciende el interruptor de luces del taller, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_taller_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el interruptor de luces de taller."
fan.toggle,fan.dormitorio_derecho,Ventilador del dormitorio del lado derecho,fan.dormitorio_izquierdo,¿Puedes alternar el ventilador del dormitorio del lado derecho?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.dormitorio_izquierdo', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Vale, ahora lo intento con el ventilador del dormitorio del lado derecho."
fan.decrease_speed,fan.pasillo,ventilador de pasillo,fan.pasilloo,"Disminuye la velocidad del ventilador de pasillo, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.pasilloo', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, lo intentaré con el ventilador de pasillo."
switch.toggle,switch.luces_escalera,Interruptor de luces de escalera,switch.luces_escaler,¿Puedes encender la luz de la escalera?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_escaler', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, lo intentaré con el dispositivo correcto."
media_player.volume_down,media_player.altavoces_exteriores_de_patio,Altavoces exteriores para patio,media_player.altavoces_exteriores_del_patio,"Baja el volumen de los altavoces exteriores para el patio, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.altavoces_exteriores_del_patio', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, ahora lo intentaré con Altavoces exteriores para patio."
fan.increase_speed,fan.habitación_niños,ventilador de la habitación de los niños,fan.habitaciónniños,"Sube la velocidad del ventilador de la habitación de los niños, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.habitaciónniños', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, lo intentaré con el ventilador de la habitación de los niños."
