service,response_starting,response_confirmed,persona,short
blinds.open_cover,Öffne die Jalousien für Sie.,Die Jalousien sind jetzt geöffnet.,assistant,0
blinds.open_cover,"Klar, ich öffne gerade die Jalousien.",Die Jalousien sind jetzt offen.,assistant,0
blinds.open_cover,Ich öffne die Jalousien jetzt.,Die Jalousien sind jetzt offen.,assistant,0
blinds.close_cover,Schließe die Jalousien jetzt.,Die Jalousien sind jetzt geschlossen.,assistant,0
blinds.close_cover,"Sicher, die Jalousien schließen ich jetzt.",Die Jalousien sind nun geschlossen.,assistant,0
blinds.close_cover,Schließe die Jalousien jetzt für dich.,Die Jalousien sind jetzt geschlossen.,assistant,0
blinds.stop_cover,Stoppe jetzt die Jalousien.,Die Jalousien sind gestoppt.,assistant,0
blinds.stop_cover,Ich stoppe die Jalousien für dich.,Die Jalousien wurden gestoppt.,assistant,0
blinds.stop_cover,"Sicher, die Bewegung der Jalousien wird gestoppt.","Sicher, die Bewegung der Jalousien wurde gestoppt.",assistant,0
blinds.toggle,Schalte gerade den Jalousienstatus für Sie um.,Der Jalousienstatus ist jetzt umgeschaltet.,assistant,0
blinds.toggle,Ich ändere jetzt den Status der Jalousien.,Der Status der Jalousien wurde geändert.,assistant,0
blinds.toggle,Schalte die Jalousien jetzt für dich um.,Die Jalousien wurden umgeschaltet.,assistant,0
blinds.open_cover,Fahre <device_name>-Jalousien wie gewünscht hoch.,Die <device_name>-Jalousien sind wie gewünscht hochgefahren.,assistant,0
blinds.open_cover,<device_name> wird für Sie jetzt erhoben,<device_name> wurde für Sie erhoben,assistant,0
blinds.open_cover,<device_name> wird jetzt geöffnet,<device_name> ist jetzt geöffnet,assistant,0
blinds.stop_cover,Die Position von <device_name> wird jetzt eingefroren,Die Position von <device_name> ist eingefroren,assistant,0
blinds.stop_cover,Halte <device_name> jetzt an,<device_name> ist angehalten,assistant,0
blinds.open_cover,<device_name> wird jetzt ausgelöst.,<device_name> wurde ausgelöst.,assistant,0
blinds.stop_cover,<device_name>-Vorgang wird gestoppt,Der <device_name>-Vorgang wurde gestoppt,assistant,0
blinds.close_cover,<device_name> wird gerade für Sie geschlossen,<device_name> wurde für Sie geschlossen,assistant,0
blinds.close_cover,<device_name> wird jetzt gesenkt,<device_name> ist jetzt gesenkt,assistant,0
blinds.close_cover,Fahre <device_name> jetzt wie gewünscht herunter,<device_name> wurde wie gewünscht heruntergefahren,assistant,0
blinds.close_cover,<device_name> wird jetzt gesenkt,<device_name> wurde gesenkt,assistant,0
blinds.toggle,Status von <device_name> wird gerade umgedreht,Status von <device_name> wurde umgedreht,assistant,0
blinds.toggle,Der Status von <device_name> wird gerade geändert.,Der Status von <device_name> wurde wie gewünscht geändert.,assistant,0
blinds.toggle,<device_name> wird jetzt für Sie umgeschaltet,<device_name> wurde für Sie umgeschaltet,assistant,0
climate.set_humidity,Erhöhe die Luftfeuchtigkeit auf <humidity>.,Die Luftfeuchtigkeit wurde auf <humidity> erhöht.,assistant,0
blinds.toggle,Schalte <device_name> um.,<device_name> ist jetzt umgeschaltet.,assistant,0
climate.set_humidity,Stelle die Luftfeuchtigkeit jetzt auf <humidity> Prozent ein.,Luftfeuchtigkeit wurde auf <humidity> Prozent eingestellt.,assistant,0
climate.set_fan_mode,Schalte den Lüfter jetzt auf <fan_mode>.,Der Lüfter ist jetzt auf <fan_mode> geschaltet.,assistant,0
climate.set_humidity,Passe die Luftfeuchtigkeit auf <humidity> % an.,Die Luftfeuchtigkeit wurde auf <humidity> % angepasst.,assistant,0
climate.set_fan_mode,Ändere den Lüfter jetzt auf die Einstellung <fan_mode>.,Der Lüfter ist jetzt auf die Einstellung <fan_mode>.,assistant,0
climate.set_fan_mode,Stelle den Lüfter auf die Geschwindigkeit <fan_mode> ein.,Der Lüfter läuft jetzt mit der Geschwindigkeit <fan_mode>.,assistant,0
