reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,lock.lock,back_door,Schloss an der Hintertür,,"Schließe <device_name> ab.","Ich kann kein Schloss an der Hintertür finden."
already_state,light.turn_on,hallway,Flurlichter,on,"Schalte die <device_name> ein.","Die Flurlichter sind bereits an."
already_state,switch.turn_off,garage,Steckdose in der Garage,off,"Schalte die <device_name> aus.","Die Steckdose in der Garage ist bereits aus."
not_available,fan.decrease_speed,garage,Garagenfan,,Verringere die Geschwindigkeit von <device_name>,"Entschuldigung, ich kann <device_name> nicht in deinem Zuhause finden."
not_available,blinds.toggle,garage,Garagenjalousien,,Schalte <device_name> um,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
not_available,garage_door.open_cover,geschäft,Werkstatt Garagentor,,Öffne die Abdeckung des <device_name>,"Entschuldigung, ich kann das Gerät in deinem Zuhause nicht finden."
not_available,switch.turn_on,sauna_lights,Saunalichtschalter,,Schalte <device_name> ein,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
not_available,media_player.turn_on,philips_ambilight_tv,Philips LED-Fernseher mit Hintergrundbeleuchtung,,Schalte <device_name> ein.,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
already_state,vacuum.return_to_base,entryway_eufy,Staubsammler im Eingangsbereich,docked,Bitte <device_name> zurück zur Basis fahren,"Der Staubsauger ist bereits am Dock, es ist nichts zu ändern."
not_available,fan.increase_speed,keller,Kellerventilator,,Erhöhe die Geschwindigkeit des <device_name>.,"Entschuldigung, ich kann das Gerät <device_name> nicht in deinem Zuhause finden."
not_available,climate.turn_on,trane_comfortlink_ii,Trane ComfortLink II XL1050,,Schalte das Klima <device_name> ein,"Entschuldigung, ich kann das Gerät <device_name> nicht in deinem Zuhause finden."
not_available,lock.unlock,studio,Studioschloss,,Entsperre <device_name>,"Entschuldigung, ich kann das Gerät in deinem Zuhause nicht finden."
not_available,climate.set_temperature,thermostat_lux_geo,Lux Geo WLAN-Thermostat,,Stelle die Temperatur im <device_name> auf 21 Grad ein.,"Entschuldigung, ich kann das Gerät <device_name> im Haus nicht finden."
already_state,switch.turn_off,badezimmer_fan,Schalter für Badezimmerventilator,off,Schalte <device_name> aus,"Das Gerät ist bereits aus, es muss nichts geändert werden."
already_state,lock.lock,werkzeugschuppen,Schloss für Geräteschuppen,locked,Sperre <device_name>,"Das Gerät ist bereits gesperrt, es muss nichts geändert werden."
already_state,switch.turn_on,werkstattbeleuchtung,Werkstattlichtschalter,on,Schalte <device_name> ein,"Das Gerät ist bereits eingeschaltet, daher muss ich nichts ändern."
not_available,media_player.volume_up,sony_4k_projector,Heimkinoprojektor von Sony,,Erhöhe die Lautstärke von <device_name>,"Entschuldigung, ich kann das Gerät <device_name> nicht in deinem Zuhause finden."
not_available,vacuum.stop,entryway_eufy,Staubsammler im Eingangsbereich,,Stoppe den <device_name>.,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
already_state,lock.unlock,porch_door,Veranda-Türschloss,unlocked,Entsperre <device_name>,"Das Gerät ist bereits entriegelt, ein weiteres Entsperren ist nicht nötig."
not_available,fan.decrease_speed,büro,Büro-Fan,,Verringere die Geschwindigkeit des <device_name>,"Entschuldigung, ich kann das Gerät <device_name> nicht in deinem Zuhause finden."
not_available,garage_door.stop_cover,chamberlain_1,Kammerherr,,Stoppe <device_name>.,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
not_available,fan.turn_off,outdoor_küche,Küchenventilator für den Außenbereich,,Schalte <device_name> aus,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
not_available,lock.lock,schlafzimmer_3,Drittes Schlafzimmerschloss,,Schließe <device_name> ab,"Entschuldigung, ich kann das Gerät <device_name> nicht in deinem Zuhause finden."
not_available,media_player.volume_up,roku_ultra,Roku Hochleistungs-Streamer,,Lautstärke von <device_name> erhöhen,"Entschuldigung, ich kann <device_name> im Haus nicht finden."
already_state,lock.unlock,rear_gate,Heckklappenschloss,unlocked,Entsperre <device_name>.,"Das Gerät ist bereits entsperrt, ich muss nichts ändern."
not_available,fan.decrease_speed,studie_2,Studienfan,,Verringere die Geschwindigkeit von <device_name>,"Entschuldigung, ich kann das Gerät nicht in deinem Zuhause finden."
already_state,climate.turn_off,nest_learning,Nest-Lernthermostat,off,Schalte <device_name> aus,"Das Gerät ist bereits ausgeschaltet, es muss nichts geändert werden."
already_state,light.turn_on,büro,Bürolicht,on,Schalte das Licht <device_name> ein,"Das Licht <device_name> ist bereits an, ich muss nichts ändern."
not_available,fan.increase_speed,balkon,Balkonventilator,,Erhöhe die Geschwindigkeit von <device_name>,"Entschuldigung, ich kann <device_name> nicht im Haus finden."
already_state,lock.lock,gewächshaus,Gewächshausschloss,locked,Schließe <device_name> ab,"Der <device_name> ist bereits gesperrt, es muss nichts geändert werden."
