service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
fan.increase_speed,fan.outdoor_kitchen,Outdoor kitchen fan,fan.outdoor_kitchen_pro,Could you increase the speed of the outdoor kitchen fan?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.outdoor_kitchen_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Sure, I’ll try the Outdoor kitchen fan instead."
blinds.open_cover,blinds.theater_room,Home theater blinds,blinds.theatre_room,"Open the Home theater blinds, please.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.theatre_room', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Got it, I'll try again with the correct device."
climate.turn_on,climate.carrier_cor,Carrier Cor Wi-Fi Thermostat,climate.carrier_cor_main,"Hey, could you turn on the thermostat?","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.carrier_cor_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Sure, I'll try again with the Carrier Cor thermostat."
vacuum.return_to_base,vacuum.greenhouse_sweeper,Greenhouse floor sweeper,vacuum.greenhouse_sweeper_pro,Please send the Greenhouse floor sweeper back to its base.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.greenhouse_sweeper_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Got it, I'll use the correct vacuum now."
climate.turn_on,climate.greenhouse_climate,Greenhouse Climate System,climate.greenhouse_climatet,Please turn on the greenhouse climate system.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.greenhouse_climatet', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Got it, trying again with the correct device."
media_player.volume_down,media_player.pool_house_tv,Pool House Television,media_player.pool_house_tv_main,Could you lower the volume on the Pool House TV?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.pool_house_tv_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Got it, I'll try the Pool House Television."
vacuum.return_to_base,vacuum.patio_doorway_vac,Patio doorway cleaner,vacuum.patio_doorway_cleaner,Could you send the patio doorway cleaner back to its charging base?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.patio_doorway_cleaner', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alright, I'll try with the correct device."
garage_door.open_cover,garage_door.motorcycle,Motorcycle Garage,garage_door.cyclemotor,Open the garage door cover for the motorcycle garage.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.cyclemotor', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Sure, I'll try the Motorcycle Garage instead."
garage_door.toggle,garage_door.woodshop,Woodshop door,garage_door.woodshop_main,Could you toggle the Woodshop door?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.woodshop_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Got it, trying the Woodshop door."
lock.unlock,lock.gym,Home Gym Lock,lock.gymnasium,"Unlock the home gym lock, please.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.gymnasium', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, let me try the Home Gym Lock."
