device_type,state,phrase,assistant_response
light,on,Ist der <device_name> eingeschaltet?,Der <device_name> ist derzeit eingeschaltet
light,on,Können Sie mir den Status von <device_name> mitteilen?,Der <device_name> ist eingeschaltet
light,off,Was macht der <device_name>?,Der <device_name> ist ausgeschaltet
light,off,Ist der <device_name> ausgeschaltet?,Der <device_name> ist derzeit ausgeschaltet
fan,on,Ist der <device_name> eingeschaltet?,Der <device_name> ist derzeit eingeschaltet
fan,on,"Können Sie überprüfen, ob <device_name> funktioniert?",Der <device_name> ist eingeschaltet
fan,off,Ist der <device_name> ausgeschaltet?,Der <device_name> ist derzeit ausgeschaltet
fan,off,Wie ist der aktuelle Status von <device_name>?,Der <device_name> ist ausgeschaltet
garage_door,open,Ist der <device_name> geöffnet?,Der <device_name> ist derzeit geöffnet
garage_door,open,"Können Sie mir sagen, ob <device_name> geöffnet ist?",Der <device_name> ist geöffnet
garage_door,closed,Ist der <device_name> geschlossen?,Der <device_name> ist derzeit geschlossen
garage_door,closed,Wie ist der Status von <device_name>?,Der <device_name> ist geschlossen
garage_door,opening,Ist die <device_name>-Öffnung,Der <device_name> wird gerade geöffnet
garage_door,opening,Was macht der <device_name>?,Der <device_name> wird geöffnet
garage_door,closing,Wird der <device_name> geschlossen,Der <device_name> wird derzeit geschlossen
garage_door,closing,"Können Sie mir sagen, ob <device_name> geschlossen wird?",Der <device_name> wird geschlossen
blinds,open,Sind <device_name> geöffnet?,Die <device_name> sind derzeit geöffnet
blinds,open,Wie ist der Status von <device_name>?,Die <device_name> sind geöffnet
blinds,closed,Sind die <device_name> geschlossen?,Die <device_name> sind derzeit geschlossen
blinds,closed,"Können Sie überprüfen, ob <device_name> geschlossen ist?",Die <device_name> sind geschlossen
blinds,opening,Sind die <device_name> Öffnung,Die <device_name> werden derzeit geöffnet
blinds,opening,Was macht der <device_name>?,Der <device_name> wird geöffnet
blinds,closing,Werden die <device_name> geschlossen?,Der <device_name> wird derzeit geschlossen
blinds,closing,Wie ist der Status von <device_name>?,Der <device_name> wird geschlossen
