service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
light.turn_on,light.living_room_lamp,Lampe du salon,light.livng_room_lamp,"Veuillez allumer la <device_name>.","Erreur : entité light.livng_room_lamp introuvable.","Je vais essayer la lampe du salon à la place."
climate.set_temperature,climate.hallway,Thermostat du couloir,climate.halway,"Règle la <device_name> à <temp_f> degrés.","Erreur : entité climate.halway introuvable.","Nouvelle tentative avec le thermostat du couloir."
fan.turn_off,fan.office,Ventilateur du bureau,fan.offce,"Éteins le <device_name>.","Erreur : entité fan.offce introuvable.","Je vais réessayer avec le ventilateur du bureau."
garage_door.open_cover,garage_door.liftmaster_1,LiftMaster,garage_door.lift_master_1,"Ouvre le couvercle du garage, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.lift_master_1', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon dispositif : garage_door.liftmaster_1."
light.turn_on,light.front_sunroom_ge,Lumière de véranda avant,light.front_sunroom_ge_extra,"Allume la lumière de la véranda avant en blanc, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.front_sunroom_ge_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Pas de problème, je réessaie avec la bonne lumière."
light.turn_on,light.philips_hue_1,Philips Hue,light.philips_hue_1_main,"Allume la lumière du salon, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.philips_hue_1_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le dispositif correct."
lock.unlock,lock.la_porte_du_patio,Porte patio coulissante,lock.patio_du_porte,Peux-tu déverrouiller la porte patio coulissante ?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.patio_du_porte', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec la porte patio coulissante."
fan.increase_speed,fan.grenier_ventilation,Ventilateur de grenier,fan.grenierventilation_plus,"Augmente la vitesse du ventilateur du grenier, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.grenierventilation_plus', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon appareil : fan.grenier_ventilation.
media_player.turn_off,media_player.sonos_beam,Barre de son compacte Sonos,media_player.sonos_beam_salon,"Éteins la barre de son compacte Sonos, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.sonos_beam_salon', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec la bonne barre de son."
switch.toggle,switch.front_gate_lighting,Interrupteur des feux de porte avant,switch.front_gate_lightings,"Allume les feux de la porte avant, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.front_gate_lightings', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec l'interrupteur des feux de porte avant."
