service_name,device_name,phrase
blinds.close_cover,kitchen,Lower the kitchen blinds
blinds.close_cover,living_room,Close the living room blinds
blinds.close_cover,master_bedroom,Shut the master bedroom blinds
blinds.open_cover,kitchen,Could you raise the kitchen blinds
blinds.open_cover,living_room,Open the living room blinds
blinds.open_cover,master_bedroom,Lift the master bedroom blinds
blinds.stop_cover,kitchen,Stop the kitchen blinds where they are
blinds.stop_cover,living_room,Stop adjusting the living room blinds
blinds.stop_cover,master_bedroom,Please halt the master bedroom blinds
blinds.toggle,kitchen,Switch the state of the kitchen blinds
blinds.toggle,living_room,Toggle the living room blinds
blinds.toggle,master_bedroom,Reverse the master bedroom blinds
fan.decrease_speed,attic_1,Slow down the attic fan
fan.decrease_speed,attic_1,Turn down the attic fan
fan.decrease_speed,attic,Slow down the fan in the attic
fan.decrease_speed,bedroom_master,Slow down the master bedroom fan
fan.decrease_speed,garage,Turn down the fan in the garage
fan.decrease_speed,guest_room,Decrease the fan speed in the guest room
fan.decrease_speed,hallway,Lower the fan speed in the hallway
fan.decrease_speed,kitchen,Slow down the kitchen fan
fan.decrease_speed,kitchen,Turn down the kitchen fan
fan.decrease_speed,living_room,Decrease the speed of the living room fan
fan.decrease_speed,living_room,Turn down the living room fan
fan.decrease_speed,study,Reduce the fan speed in the study
fan.increase_speed,attic_1,Increase speed of the attic fan
fan.increase_speed,attic,Accelerate the fan in the attic
fan.increase_speed,bedroom_master,Ramp up the master bedroom fan speed
fan.increase_speed,garage,Turn up the fan in the garage
fan.increase_speed,guest_room,Increase the fan speed in the guest room
fan.increase_speed,hallway,Boost the fan speed in the hallway
fan.increase_speed,living_room,Increase the speed of the living room fan
fan.increase_speed,study,Ramp up the fan speed in the study
fan.toggle,attic_2,Toggle the attic fan
fan.toggle,attic,Change the fan status in the attic
fan.toggle,basement,Toggle the basement fan
fan.toggle,bedroom_master,Switch the state of the master bedroom fan
fan.toggle,bedroom,Toggle the bedroom fan
fan.toggle,dining_table_above,Please toggle the fan above the dining table
fan.toggle,driveway,Flip the driveway fan
fan.toggle,garage,Flip the fan in the garage
fan.toggle,guest_room,Can you toggle the fan in the guest room
fan.toggle,hallway,Switch the state of the fan in the hallway
fan.toggle,kitchen,Toggle the kitchen fan
fan.toggle,living_room,Toggle the fan in the living room
fan.toggle,office,Toggle the office fan
fan.toggle,outdoor,Toggle the outdoor fan
fan.toggle,pool,Change the status of the pool fan
fan.toggle,shed,Switch the shed fan on or off
fan.toggle,study,Alter the fan state in the study
fan.turn_off,attic_1,Disable the attic fan
fan.turn_off,bedroom_master,Deactivate the master bedroom fan
fan.turn_off,dining_area,Please switch off the dining area fan
fan.turn_off,dining_room,Switch off the dining room fan
fan.turn_off,garage,Shut down the garage fan
fan.turn_off,garage,Switch off the garage fan
fan.turn_off,guest_room,Switch off the guest room fan
fan.turn_off,kitchen,Switch off the kitchen fan
fan.turn_off,living_room,Turn off the living room fan
fan.turn_off,office,Could you disable the office fan
fan.turn_off,office,Turn off the office fan
fan.turn_off,patio,Turn off the patio fan
fan.turn_off,study,Switch off the study fan
fan.turn_off,study,Turn off the study fan
fan.turn_on,bathroom,Activate the bathroom fan
fan.turn_on,bathroom,Turn on the bathroom fan
fan.turn_on,bedroom_master,Activate the master bedroom fan
fan.turn_on,dining_area,Please switch on the dining area fan
fan.turn_on,garage,Turn on the garage fan
fan.turn_on,hallway,Enable the hallway fan
fan.turn_on,kitchen,Enable the kitchen fan
fan.turn_on,living_room,Start the living room fan
fan.turn_on,living_room,Turn on the living room fan
fan.turn_on,office,Could you enable the office fan
fan.turn_on,study,Activate the study fan
fan.turn_on,study,Switch on the study fan
garage_door.close_cover,bike_storage,Deactivate the bike storage garage
garage_door.close_cover,main,Close the main garage door
garage_door.close_cover,one_car,Make sure the one car garage is closed
garage_door.close_cover,side,Lower the side garage door
garage_door.open_cover,basement,Please raise the basement garage door
garage_door.open_cover,bike_storage,Activate the bike storage garage
garage_door.open_cover,main,Open the main garage door
garage_door.open_cover,side,Could you lift the side garage door
garage_door.open_cover,two_car,Open the two car garage
garage_door.stop_cover,main,Stop the main garage door
garage_door.stop_cover,side,Halt the side garage door
garage_door.toggle,main,Toggle the main garage door
garage_door.toggle,side,Switch the state of the side garage door
light.toggle,attic,Change the light status in the attic
light.toggle,bedroom_1,Toggle the bedroom light
light.toggle,dining_table_above,Please toggle the light above the dining table
light.toggle,driveway,Flip the driveway light
light.toggle,garage,Flip the light in the garage
light.toggle,guest_room,Could you toggle the light in the guest room
light.toggle,guest_room,Toggle the guest room light
light.toggle,hallway,Switch the state of the light in the hallway
light.toggle,hallway,Toggle the hallway light
light.toggle,kitchen_1,Toggle the kitchen light
light.toggle,kitchen_2,Toggle the kitchen light
light.toggle,office,Toggle the office light
light.toggle,outdoor,Toggle the outdoor light
light.toggle,patio,Toggle the patio light
light.toggle,pool,Change the status of the pool light
light.toggle,shed,Switch the shed light on or off
