service_name,device_name,phrase
blinds.close_cover,küche,Lassen Sie die Jalousien in der Küche herunter
blinds.close_cover,wohnzimmer,Schließen Sie die Jalousien im Wohnzimmer
blinds.close_cover,hauptschlafzimmer,Schließen Sie die Jalousien im Hauptschlafzimmer
blinds.open_cover,küche,Könnten Sie die Küchenjalousien hochziehen?
blinds.open_cover,wohnzimmer,Öffnen Sie die Jalousien im Wohnzimmer
blinds.open_cover,hauptschlafzimmer,Heben Sie die Jalousien im Hauptschlafzimmer an
blinds.stop_cover,küche,"Halten Sie die Küchenjalousien dort an, wo sie sind"
blinds.stop_cover,wohnzimmer,"Hören Sie auf, die Jalousien im Wohnzimmer zu verstellen"
blinds.stop_cover,hauptschlafzimmer,Bitte halten Sie die Jalousien im Hauptschlafzimmer an
blinds.toggle,küche,Schalten Sie den Zustand der Küchenjalousien um
blinds.toggle,wohnzimmer,Schalten Sie die Jalousien im Wohnzimmer um
blinds.toggle,hauptschlafzimmer,Drehen Sie die Jalousien im Hauptschlafzimmer um
fan.decrease_speed,dachboden_1,Machen Sie den Dachbodenventilator langsamer
fan.decrease_speed,dachboden_1,Drehen Sie den Dachbodenventilator herunter
fan.decrease_speed,dachboden,Verlangsamen Sie den Ventilator auf dem Dachboden
fan.decrease_speed,schlafzimmer_master,Verlangsamen Sie den Ventilator im Hauptschlafzimmer
fan.decrease_speed,garage,Drehen Sie den Ventilator in der Garage herunter
fan.decrease_speed,gästezimmer,Verringern Sie die Lüftergeschwindigkeit im Gästezimmer
fan.decrease_speed,flur,Verringern Sie die Ventilatorgeschwindigkeit im Flur
fan.decrease_speed,küche,Schalten Sie den Küchenventilator langsamer aus
fan.decrease_speed,küche,Drehen Sie den Küchenventilator herunter
fan.decrease_speed,wohnzimmer,Verringern Sie die Geschwindigkeit des Wohnzimmerventilators
fan.decrease_speed,wohnzimmer,Drehen Sie den Ventilator im Wohnzimmer herunter
fan.decrease_speed,studie,Reduzieren Sie die Lüftergeschwindigkeit im Arbeitszimmer
fan.increase_speed,dachboden_1,Erhöhen Sie die Geschwindigkeit des Dachbodenventilators
fan.increase_speed,dachboden,Beschleunigen Sie den Ventilator auf dem Dachboden
fan.increase_speed,schlafzimmer_master,Erhöhen Sie die Lüftergeschwindigkeit im Hauptschlafzimmer
fan.increase_speed,garage,Drehen Sie den Ventilator in der Garage auf
fan.increase_speed,gästezimmer,Erhöhen Sie die Lüftergeschwindigkeit im Gästezimmer
fan.increase_speed,flur,Erhöhen Sie die Lüftergeschwindigkeit im Flur
fan.increase_speed,wohnzimmer,Erhöhen Sie die Geschwindigkeit des Wohnzimmerventilators
fan.increase_speed,studie,Erhöhen Sie die Lüftergeschwindigkeit im Arbeitszimmer
fan.toggle,dachboden_2,Schalten Sie den Dachbodenventilator um
fan.toggle,dachboden,Ändern Sie den Ventilatorstatus auf dem Dachboden
fan.toggle,keller,Schalten Sie den Kellerventilator um
fan.toggle,schlafzimmer_master,Schalten Sie den Status des Ventilators im Hauptschlafzimmer um
fan.toggle,schlafzimmer,Schalten Sie den Schlafzimmerventilator ein
fan.toggle,dining_table_above,Bitte schalten Sie den Ventilator über dem Esstisch ein
fan.toggle,auffahrt,Drehen Sie den Einfahrtsventilator um
fan.toggle,garage,Drehen Sie den Ventilator in der Garage um
fan.toggle,gästezimmer,Kann man den Ventilator im Gästezimmer ein-/ausschalten?
fan.toggle,flur,Schalten Sie den Zustand des Ventilators im Flur um
fan.toggle,küche,Schalten Sie den Küchenventilator um
fan.toggle,wohnzimmer,Schalten Sie den Ventilator im Wohnzimmer ein
fan.toggle,büro,Schalten Sie den Büroventilator um
fan.toggle,draussen,Schalten Sie den Außenventilator um
fan.toggle,schwimmbad,Ändern Sie den Status des Poolventilators
fan.toggle,baracke,Schalten Sie den Stallventilator ein oder aus
fan.toggle,studie,Ändern Sie den Lüfterstatus in der Studie
fan.turn_off,dachboden_1,Deaktivieren Sie den Dachbodenventilator
fan.turn_off,schlafzimmer_master,Deaktivieren Sie den Ventilator im Hauptschlafzimmer
fan.turn_off,essbereich,Bitte schalten Sie den Ventilator im Essbereich aus
fan.turn_off,esszimmer,Schalten Sie den Ventilator im Esszimmer aus
fan.turn_off,garage,Schalten Sie den Garagenventilator aus
fan.turn_off,garage,Schalten Sie den Garagenventilator aus
fan.turn_off,gästezimmer,Schalten Sie den Ventilator im Gästezimmer aus
fan.turn_off,küche,Schalten Sie den Küchenventilator aus
fan.turn_off,wohnzimmer,Schalten Sie den Ventilator im Wohnzimmer aus
fan.turn_off,büro,Könnten Sie den Bürolüfter deaktivieren?
fan.turn_off,büro,Schalten Sie den Büroventilator aus
fan.turn_off,terrasse,Schalten Sie den Terrassenventilator aus
fan.turn_off,studie,Schalten Sie den Studienventilator aus
fan.turn_off,studie,Schalten Sie den Studienventilator aus
fan.turn_on,badezimmer,Aktivieren Sie den Badezimmerventilator
fan.turn_on,badezimmer,Schalten Sie den Badezimmerventilator ein
fan.turn_on,schlafzimmer_master,Aktivieren Sie den Ventilator im Hauptschlafzimmer
fan.turn_on,essbereich,Bitte schalten Sie den Ventilator im Essbereich ein
fan.turn_on,garage,Schalten Sie den Garagenventilator ein
fan.turn_on,flur,Schalten Sie den Flurventilator ein
fan.turn_on,küche,Schalten Sie den Küchenventilator ein
fan.turn_on,wohnzimmer,Starten Sie den Ventilator im Wohnzimmer
fan.turn_on,wohnzimmer,Schalten Sie den Ventilator im Wohnzimmer ein
fan.turn_on,büro,Könnten Sie den Bürolüfter aktivieren?
fan.turn_on,studie,Aktivieren Sie den Lernfächer
fan.turn_on,studie,Schalten Sie den Studienventilator ein
