device_type,state,phrase,assistant_response
light,on,Le <device_name> est-il activé,Le <device_name> est actuellement activé
light,on,Pouvez-vous me dire l'état du <device_name>,Le <device_name> est activé
light,off,Que fait <device_name> ?,Le <device_name> est éteint
light,off,Le <device_name> est-il éteint,Le <device_name> est actuellement éteint
fan,on,Le <device_name> est-il activé,Le <device_name> est actuellement activé
fan,on,Pouvez-vous vérifier si le <device_name> fonctionne,Le <device_name> est activé
fan,off,Le <device_name> est-il éteint,Le <device_name> est actuellement éteint
fan,off,Quel est l'état actuel du <device_name>,Le <device_name> est éteint
garage_door,open,Le <device_name> est-il ouvert,Le <device_name> est actuellement ouvert
garage_door,open,Pouvez-vous me dire si le <device_name> est ouvert,Le <device_name> est ouvert
garage_door,closed,Le <device_name> est-il fermé ?,Le <device_name> est actuellement fermé
garage_door,closed,Quel est l'état du <device_name>,Le <device_name> est fermé
garage_door,opening,L'ouverture de <device_name>,Le <device_name> est en cours d'ouverture
garage_door,opening,Que fait <device_name> ?,Le <device_name> s'ouvre
garage_door,closing,Le <device_name> est-il en train de fermer,Le <device_name> est actuellement en train de fermer
garage_door,closing,Pouvez-vous me dire si le <device_name> se ferme,Le <device_name> se ferme
blinds,open,Le <device_name> est-il ouvert,Les <device_name> sont actuellement ouverts
blinds,open,Quel est l'état du <device_name>,Les <device_name> sont ouverts
blinds,closed,Le <device_name> est-il fermé,Le <device_name> est actuellement fermé
blinds,closed,Pouvez-vous vérifier si les <device_name> sont fermés,Les <device_name> sont fermés
blinds,opening,L'ouverture de <device_name>,Le <device_name> est en cours d'ouverture
blinds,opening,Que fait <device_name> ?,Le <device_name> s'ouvre
blinds,closing,Le <device_name> se ferme-t-il,Le <device_name> est actuellement en train de fermer
blinds,closing,Quel est l'état du <device_name>,Le <device_name> se ferme
media_player,on,Le <device_name> est-il activé,Le <device_name> est actuellement activé
media_player,on,Quel est l'état actuel du <device_name>,Le <device_name> est activé
media_player,off,Le <device_name> est-il éteint,Le <device_name> est actuellement éteint
media_player,off,Pouvez-vous me dire si le <device_name> est éteint,Le <device_name> est éteint
media_player,idle,Que fait <device_name> ?,Le <device_name> est inactif
media_player,idle,Le <device_name> est-il inactif,Le <device_name> est actuellement inactif
media_player,playing,Le <device_name> est-il en train de jouer,Le <device_name> est en cours de lecture
media_player,playing,Pouvez-vous me dire si <device_name> joue,Le <device_name> joue
media_player,paused,Quel est l'état du <device_name>,Le <device_name> est en pause
media_player,paused,Le <device_name> est-il en pause ?,Le <device_name> est actuellement en pause
media_player,standby,Que fait <device_name> ?,Le <device_name> est en veille
media_player,standby,Le <device_name> est-il en veille,Le <device_name> est actuellement en veille
lock,unlocked,Le <device_name> est-il déverrouillé,Le <device_name> est actuellement déverrouillé
lock,unlocked,Quel est l'état du <device_name>,Le <device_name> est déverrouillé
lock,locked,Le <device_name> est-il verrouillé,Le <device_name> est actuellement verrouillé
lock,locked,Pouvez-vous me dire si le <device_name> est verrouillé,Le <device_name> est verrouillé
lock,unlocking,Que fait <device_name> ?,Le <device_name> est en cours de déverrouillage
lock,unlocking,Le <device_name> est-il déverrouillé,Le <device_name> est actuellement en cours de déverrouillage
lock,locking,Le <device_name> est-il verrouillé,Le <device_name> est actuellement en cours de verrouillage
lock,locking,Quel est l'état du <device_name>,Le <device_name> est verrouillé
lock,jammed,Que fait <device_name> ?,Le <device_name> est bloqué
lock,jammed,Le <device_name> est-il bloqué,Le <device_name> est actuellement bloqué
light,on,Le <device_name> est-il actif,Le <device_name> est actuellement activé
light,on,Le <device_name> est-il alimenté,Le <device_name> est activé
light,off,Le <device_name> est-il désactivé,Le <device_name> est actuellement éteint
fan,on,Le <device_name> tourne-t-il,Le <device_name> est actuellement activé
fan,on,Le <device_name> souffle-t-il de l'air,Le <device_name> est activé
fan,off,Le <device_name> est-il inactif,Le <device_name> est actuellement éteint
fan,off,Le <device_name> est-il toujours,Le <device_name> est éteint
lock,unlocked,Le <device_name> est-il ouvert,Le <device_name> est actuellement déverrouillé
lock,unlocked,Le <device_name> n'est-il pas sécurisé ?,Le <device_name> est déverrouillé
lock,locked,Le <device_name> est-il sécurisé,Le <device_name> est actuellement verrouillé
lock,locked,Le <device_name> est-il scellé,Le <device_name> est verrouillé
garage_door,open,Le <device_name> est-il descellé ?,Le <device_name> est actuellement ouvert
garage_door,closed,Le <device_name> est-il fermé,Le <device_name> est actuellement fermé
blinds,open,Le <device_name> est-il affiché,Les <device_name> sont actuellement ouverts
blinds,closed,Le <device_name> est-il retiré ?,Le <device_name> est actuellement fermé
light,on,Le <device_name> est-il allumé,Le <device_name> est actuellement activé
light,off,Le <device_name> est-il éteint,"Oui, <device_name> est éteint"
light,on,"Euh, peux-tu vérifier si le <device_name> est allumé ou quelque chose du genre",Le <device_name> est actuellement activé
light,off,"Hé, qu'est-ce qui se passe avec le <device_name>, est-il éteint ?",Le <device_name> est actuellement éteint
fan,on,Le <device_name> s'envole également,Le <device_name> est bien activé
fan,off,Une idée si le <device_name> est éteint,Le <device_name> est actuellement éteint
lock,unlocked,"Hé, est-ce que <device_name> est déverrouillé ou quoi",Le <device_name> est actuellement déverrouillé
lock,locked,Pouvez-vous me dire si le <device_name> est entièrement verrouillé,Le <device_name> est effectivement verrouillé
garage_door,open,"Hé, avons-nous laissé le <device_name> ouvert","Oui, le <device_name> est actuellement ouvert"
garage_door,closed,Le <device_name> est-il réellement fermé ?,Le <device_name> est effectivement fermé
blinds,open,Le <device_name> est-il actif ou quoi ?,Les <device_name> sont actuellement ouverts
blinds,closed,Nous avons également réduit le <device_name>,Les <device_name> sont effectivement fermés
light,on,"Hé, est-ce que <device_name> brille",Le <device_name> est actuellement activé
light,off,"Euh, le <device_name> est-il éteint",Le <device_name> est effectivement éteint
fan,on,Pouvez-vous confirmer si <device_name> est en cours d'exécution,Le <device_name> est actuellement activé
fan,off,Le <device_name> fait-il une pause ?,Le <device_name> est actuellement éteint
lock,unlocked,Le <device_name> est-il également ouvert,Le <device_name> est actuellement déverrouillé
lock,locked,Le <device_name> est-il boulonné,Le <device_name> est effectivement verrouillé
light,on,Le <device_name> est-il éteint,"En fait, le <device_name> est actuellement activé"
light,off,Le <device_name> est-il activé,"Non, le <device_name> est éteint pour le moment"
fan,on,Le <device_name> est-il éteint,"En fait, le <device_name> est allumé en ce moment"
fan,off,Le <device_name> souffle-t-il de l'air,"Désolé, le <device_name> est actuellement éteint"
lock,locked,Le <device_name> est-il déverrouillé,"Non, le <device_name> est actuellement verrouillé"
lock,unlocked,Le <device_name> est-il verrouillé,"Non, le <device_name> est actuellement déverrouillé"
garage_door,open,Le <device_name> est-il fermé ?,"Non, le <device_name> est actuellement ouvert"
garage_door,closed,Le <device_name> est-il ouvert,"Non, le <device_name> est actuellement fermé"
blinds,open,Le <device_name> est-il fermé,"Non, le <device_name> est actuellement ouvert"
blinds,closed,Le <device_name> est-il ouvert,"Non, le <device_name> est actuellement fermé."
light,on,"Euh, pouvez-vous vérifier si le <device_name> est éteint","Non, le <device_name> est réellement activé"
light,off,"Hé, est-ce que <device_name> brille","Non, le <device_name> est actuellement éteint"
fan,on,Le <device_name> fait-il une pause ?,"Non, le <device_name> est activé en ce moment"
fan,off,Le <device_name> est-il en train de tourbillonner,"Non, le <device_name> est éteint pour le moment"
lock,unlocked,Le <device_name> est-il boulonné,"Non, le <device_name> est actuellement déverrouillé"
lock,locked,Le <device_name> est-il libre et clair ?,"Non, le <device_name> est réellement verrouillé"
garage_door,open,Le <device_name> est-il fermé,"Non, le <device_name> est actuellement ouvert"
garage_door,closed,Avons-nous laissé le <device_name> ouvert,"Non, le <device_name> est fermé"
blinds,open,Avons-nous réduit le <device_name>,"Non, le <device_name> est réellement ouvert"
blinds,closed,Le <device_name> est-il affiché,"Non, le <device_name> est actuellement fermé."
media_player,on,Le <device_name> est-il éteint,"Non, le <device_name> est actuellement activé"
media_player,off,Le <device_name> est-il en train de jouer,"Non, le <device_name> est éteint pour le moment"
media_player,idle,Est-ce que <device_name> joue de la musique,"Non, le <device_name> est inactif pour le moment"
media_player,playing,Le <device_name> est-il en pause ?,"Non, <device_name> est en train de jouer"
media_player,paused,Le <device_name> est-il en veille,"Non, le <device_name> est actuellement en pause."
media_player,standby,Le <device_name> est-il en train de jouer,"Non, le <device_name> est en veille"
garage_door,opening,Le <device_name> est-il en train de fermer,"Non, le <device_name> est en cours d'ouverture"
garage_door,closing,L'ouverture de <device_name>,"Non, le <device_name> est actuellement en train de fermer"
blinds,opening,Le <device_name> se ferme-t-il,"Non, le <device_name> s'ouvre"
blinds,closing,L'ouverture de <device_name>,"Non, le <device_name> se ferme"
lock,unlocking,Le <device_name> est-il verrouillé,"Non, le <device_name> est en cours de déverrouillage"
lock,locking,Le <device_name> est-il déverrouillé,"Non, le <device_name> se verrouille"
lock,jammed,Le <device_name> est-il déverrouillé,"Non, le <device_name> est bloqué"
light,on,Le <device_name> est-il sombre ?,"Non, le <device_name> est actuellement activé"
light,off,Le <device_name> brille-t-il,"Non, le <device_name> est éteint"
fan,on,Le <device_name> est-il inactif,"Non, le <device_name> est réellement activé"
fan,off,Le <device_name> souffle-t-il de l'air,"Non, le <device_name> est éteint pour le moment"
lock,unlocked,Le <device_name> est-il sécurisé,"Non, le <device_name> est actuellement déverrouillé"
lock,locked,Le <device_name> est-il ouvert,"Non, le <device_name> est verrouillé"
lock,jammed,Le <device_name> est-il verrouillé,"Non, le <device_name> est bloqué"
light,on,Le <device_name> est-il éteint,"Non, le <device_name> est activé"
light,off,Le <device_name> est-il actif,"Non, le <device_name> est éteint"
light,on,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est activé
light,off,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est éteint
fan,on,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est activé
fan,off,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est éteint
garage_door,open,Le <device_name> est-il ouvert ou fermé ?,Le <device_name> est ouvert
garage_door,closed,Le <device_name> est-il ouvert ou fermé ?,Le <device_name> est fermé
blinds,open,Le <device_name> est-il ouvert ou fermé ?,Les <device_name> sont ouverts
blinds,closed,Le <device_name> est-il ouvert ou fermé ?,Les <device_name> sont fermés
media_player,on,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est activé
media_player,off,Le <device_name> est-il activé ou désactivé ?,Le <device_name> est éteint
