reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,lock.lock,back_door,Cerrojo de la puerta trasera,,"Cierra con llave el <device_name>.","No encuentro un cerrojo de la puerta trasera para controlar."
already_state,light.turn_on,hallway,Luces del pasillo,on,"Enciende las <device_name>.","Las luces del pasillo ya están encendidas."
already_state,switch.turn_off,garage,Enchufe del garaje,off,"Apaga el <device_name>.","El enchufe del garaje ya está apagado."
not_available,climate.set_temperature,mysa_smart_thermostat,Termostato inteligente Mysa para calentadores eléctricos de zócalo,,Ajusta la temperatura a 19 grados en <device_name>.,"Lo siento, no puedo encontrar <device_name> en tu casa."
not_available,media_player.volume_down,sonos_arc,Barra de sonido inteligente Sonos,,Baja el volumen del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,lock.lock,sótano,Cerradura del sótano,,Bloquear <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,media_player.volume_down,tocadiscos_vinilo_attico,Tocadiscos de vinilo para ático,,Baja el volumen del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,switch.turn_off,luces_características_agua,Interruptor de luces de fuente de agua,,Apaga el <device_name>,"Lo siento, no puedo encontrar el <device_name> en la casa."
not_available,light.toggle,arriba_dormitorio_niños_zigbee,Luz del dormitorio infantil de arriba,,Encender o apagar <device_name>,"Lo siento, no puedo localizar ese dispositivo en tu casa."
not_available,fan.turn_on,centro_sala_estar,Ventilador central para salón,,Enciende el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,light.toggle,front_mancave_ge,Luz de la cueva del hombre frontal,,cambiar el estado de la luz <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu hogar."
already_state,switch.turn_off,iluminación_de_teatro_en_casa,Control de luces de cine en casa,off,Apaga <device_name>,"Lo siento, <device_name> ya está apagado, no hay nada que cambiar."
not_available,light.turn_off,kit_de_entrenamiento_frontal,Luz de entrenamiento frontal,,apaga la luz del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,fan.turn_off,honeywell_turbo,Ventilador turbo Honeywell,,Apaga el <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,garage_door.stop_cover,ascensormaster_2,ascensormaster,,Detén la cubierta del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en tu hogar."
already_state,light.turn_on,yeelight_smart,Luz inteligente Yeelight,on,Enciende <device_name>,"Lo siento, <device_name> ya está encendida, no es necesario encenderla."
not_available,light.turn_on,back_closet_warm,Armario Trasero Luz Cálida,,Enciende la luz <device_name>,"Lo siento, no encuentro el dispositivo <device_name> en la casa."
not_available,climate.set_temperature,termostato_zen_wifi,Termostato Zen Edición WiFi,,Set the temperature of <device_name> to 27,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,switch.turn_on,iluminación_puerta_frontal,Interruptor de luces de puerta delantera,,Enciende <device_name>,"Lo siento, no puedo localizar <device_name> en la casa."
not_available,blinds.toggle,baño,Persianas de baño,,alternar las persianas del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,garage_door.toggle,sótano,Puerta de garaje del sótano,,cambia el estado de <device_name>,"Lo siento, no puedo localizar <device_name> en la casa."
not_available,light.toggle,piso_de_arriba_mudroom_zigbee,Luz del vestíbulo de arriba,,Alternar <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,fan.increase_speed,gimnasio_interior,Ventilador de gimnasio interior,,Aumenta la velocidad del <device_name>,"Lo siento, no puedo encontrar el <device_name> en tu casa."
not_available,light.toggle,comedor_1,Luz del comedor,,Cambia el estado de la luz <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu casa."
not_available,fan.increase_speed,baño_abajo,Ventilador en el baño de abajo,,Aumenta la velocidad del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
already_state,media_player.turn_on,roku_dormitorio,Reproductor Roku de dormitorio,on,Enciende <device_name>,"Lo siento, <device_name> ya está encendido, no es necesario cambiar nada."
not_available,switch.toggle,luces_características_agua,Interruptor de luces de fuente de agua,,Alternar <device_name>,"Lo siento, no encuentro <device_name> en la casa."
not_available,climate.set_temperature,johnson_glas,Termostato inteligente GLAS de Johnson Controls,,Configura la temperatura de <device_name> a 27 grados,"Lo siento, no puedo encontrar <device_name> en tu hogar."
already_state,lock.lock,puerta_entrada,Cerradura de puerta de entrada,locked,Bloquea el <device_name>,"Ya está bloqueado, no es necesario hacer nada."
already_state,light.turn_on,baño_2,Luz del baño,on,Enciende la luz <device_name> en blanco,"La luz ya está encendida, no es necesario cambiar nada."
not_available,garage_door.stop_cover,chambelán_2,Chambelán,,Detén <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,media_player.volume_down,ipad_cocina,iPad de cocina,,Baja el volumen de <device_name>,"Lo siento, no encuentro un dispositivo llamado <device_name> en tu casa."
already_state,light.turn_off,front_sideyard_ge,Luz de patio lateral delantera,off,Apaga la luz <device_name>,"Lo siento, <device_name> ya está apagada, no es necesario cambiar nada."
not_available,vacuum.stop,habitación_de_invitados_abajo,Aspiradora de la habitación de invitados de la planta baja,,detener <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,garage_door.open_cover,cobertizo_para_bicicletas,Puerta del cobertizo para bicicletas,,abrir la cubierta del <device_name>,"Lo siento, no puedo localizar ese dispositivo en tu hogar."
not_available,switch.toggle,luces_bajo_gabinete,Interruptor de luces debajo del gabinete,,cambia <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,media_player.volume_down,huésped_habitación_tv_set,Televisión en la habitación de huéspedes,,Bajar el volumen de <device_name>,"Lo siento, no puedo encontrar <device_name> en la casa."
not_available,climate.turn_on,trane_comfortlink_ii,Trane ComfortLink II XL1050,,encender <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
already_state,light.turn_on,abajo_mancave_homekit,Luz de la cueva del hombre de abajo,on,Encender la luz <device_name> en color amarillo,"La luz ya está encendida, no es necesario cambiar nada."
already_state,climate.turn_on,trane_comfortlink_ii,Trane ComfortLink II XL1050,on,Enciende <device_name>,"Lo siento, <device_name> ya está encendido, no es necesario cambiar nada."
not_available,media_player.volume_up,samsung_qled_tv,Televisor Samsung Quantum Dot,,Sube el volumen de <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,media_player.volume_down,asistente_de_voz_de_entrada,Asistente de voz de entrada,,Bajar el volumen del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,fan.toggle,estudio_1,fanático del estudio,,cambia el estado de <device_name>,"Lo siento, no encuentro <device_name> en la casa."
already_state,climate.turn_on,termostato_kono,Termostato inteligente Kono,on,Enciende la climatización de <device_name>,"Lo siento, <device_name> ya está encendido, no es necesario cambiar nada."
not_available,vacuum.start,robot_esquina_izquierda,Succionador de suciedad de la esquina izquierda,,Inicia el <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,lock.unlock,cobertizo_2,Cerradura del segundo cobertizo,,Desbloquear <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
already_state,garage_door.open_cover,almacenamiento_bicicletas,Garaje para guardar bicicletas,open,abrir la cubierta del <device_name>,"La cubierta ya está abierta, no es necesario hacer nada."
not_available,fan.decrease_speed,estudio_1,fanático del estudio,,Disminuye la velocidad del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en tu hogar."
not_available,blinds.stop_cover,ikea_inteligente,Persianas Inteligentes Ikea,,Detén la persiana <device_name>,"Lo siento, no puedo encontrar la persiana <device_name> en tu hogar."
not_available,garage_door.toggle,lado_2,Puerta de garaje lateral,,abrir o cerrar <device_name>,"Lo siento, no encuentro ese dispositivo en tu casa."
not_available,garage_door.toggle,cochera,Puerta de garaje,,abrir <device_name>,"Lo siento, no puedo localizar <device_name> en tu casa."
not_available,climate.turn_off,nido_aprendizaje,Termostato de aprendizaje Nest,,Apaga el clima del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,media_player.volume_down,cocina,Reproductor multimedia de cocina,,bajar el volumen del <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu casa."
not_available,blinds.toggle,guardería,Persianas infantiles,,cambia el estado de <device_name>,"Lo siento, no puedo localizar <device_name> en la casa."
not_available,climate.turn_on,ecobee_smart,Termostato inteligente Ecobee,,Enciende el clima <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en la casa."
not_available,light.turn_on,arriba_chimenea_zwave,Luz de la chimenea de arriba,,Enciende la luz del <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en tu hogar."
not_available,fan.decrease_speed,porche,ventilador de techo para porche,,Disminuye la velocidad del <device_name>,"Lo siento, no puedo encontrar el <device_name> en tu casa."
not_available,fan.turn_off,patio,ventilador de patio,,Apaga el <device_name>,"Lo siento, no puedo encontrar ese dispositivo en tu hogar."
not_available,climate.set_temperature,bosch_bcc100,Control conectado Bosch BCC100,,Ajusta la temperatura del <device_name> a 23 grados,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
already_state,switch.turn_off,luces_solárium,Interruptor de luces acristaladas,off,Apaga el <device_name>,"Lo siento, el <device_name> ya está apagado, no hay nada que cambiar."
not_available,lock.unlock,deposito_de_seguridad,Caja de Depósitos Seguros,,Desbloquear <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,media_player.turn_on,corriente_portátil,Transmisión de computadora portátil,,Enciende <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en la casa."
not_available,media_player.media_play_pause,tocadiscos_vinilo_attico,Tocadiscos de vinilo para ático,,Reproducir o pausar el medio en <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu hogar."
not_available,light.turn_on,front_yard_osram,Patio delantero Osram,,encender <device_name> al 20% de brillo y color verde,"Lo siento, no puedo encontrar <device_name> en la casa."
already_state,fan.turn_on,cocina_1,Ventiladores de cocina,on,Enciende el ventilador <device_name>,"El ventilador ya está encendido, no es necesario volver a activarlo."
