device_type,state,phrase,assistant_response
light,on,¿Está el <device_name> encendido?,El <device_name> está actualmente encendido
light,on,¿Puedes decirme el estado del <device_name>?,El <device_name> está encendido
light,off,¿Qué está haciendo el <device_name>?,El <device_name> está apagado
light,off,¿Está el <device_name> apagado?,El <device_name> está actualmente apagado
fan,on,¿Está el <device_name> encendido?,El <device_name> está actualmente encendido
fan,on,¿Puedes comprobar si el <device_name> está funcionando?,El <device_name> está encendido
fan,off,¿Está el <device_name> apagado?,El <device_name> está actualmente apagado
fan,off,¿Cuál es el estado actual del <device_name>?,El <device_name> está apagado
garage_door,open,¿Está abierto el <device_name>?,El <device_name> está abierto actualmente
garage_door,open,¿Puedes decirme si el <device_name> está abierto?,El <device_name> está abierto
garage_door,closed,¿Está cerrado el <device_name>?,El <device_name> está actualmente cerrado
garage_door,closed,¿Cuál es el estado del <device_name>?,El <device_name> está cerrado
garage_door,opening,¿Se está abriendo <device_name>?,El <device_name> se está abriendo actualmente
garage_door,opening,¿Qué está haciendo el <device_name>?,El <device_name> se está abriendo
garage_door,closing,¿Se está cerrando <device_name>?,El <device_name> se está cerrando actualmente
garage_door,closing,¿Puedes decirme si el <device_name> se está cerrando?,El <device_name> se está cerrando
blinds,open,¿Están abiertos los <device_name>?,Los <device_name> están actualmente abiertos
blinds,open,¿Cuál es el estado del <device_name>?,Los <device_name> están abiertos
blinds,closed,¿Están cerrados los <device_name>?,El <device_name> está actualmente cerrado
blinds,closed,¿Puedes comprobar si los <device_name> están cerrados?,Los <device_name> están cerrados
blinds,opening,¿Se están abriendo los <device_name>?,El <device_name> se está abriendo actualmente
blinds,opening,¿Qué está haciendo el <device_name>?,El <device_name> se está abriendo
blinds,closing,¿Se están cerrando los <device_name>?,El <device_name> se está cerrando actualmente
blinds,closing,¿Cuál es el estado del <device_name>?,El <device_name> se está cerrando
media_player,on,¿Está el <device_name> encendido?,El <device_name> está actualmente encendido
media_player,on,¿Cuál es el estado actual del <device_name>?,El <device_name> está encendido
media_player,off,¿Está el <device_name> apagado?,El <device_name> está actualmente apagado
media_player,off,¿Puedes decirme si el <device_name> está apagado?,El <device_name> está apagado
media_player,idle,¿Qué está haciendo el <device_name>?,El <device_name> está inactivo
media_player,idle,¿Está el <device_name> inactivo?,El <device_name> está actualmente inactivo
media_player,playing,¿Se está reproduciendo el <device_name>?,El <device_name> se está reproduciendo actualmente
media_player,playing,¿Puedes decirme si el <device_name> se está reproduciendo?,El <device_name> está reproduciendo
media_player,paused,¿Cuál es el estado del <device_name>?,El <device_name> está en pausa
media_player,paused,¿Está el <device_name> en pausa?,El <device_name> está actualmente en pausa
media_player,standby,¿Qué está haciendo el <device_name>?,El <device_name> está en espera
media_player,standby,¿Está el <device_name> en espera?,El <device_name> está actualmente en espera
lock,unlocked,¿Está el <device_name> desbloqueado?,El <device_name> está actualmente desbloqueado
lock,unlocked,¿Cuál es el estado del <device_name>?,El <device_name> está desbloqueado
lock,locked,¿Está bloqueado el <device_name>?,El <device_name> está actualmente bloqueado
lock,locked,¿Puedes decirme si el <device_name> está bloqueado?,El <device_name> está bloqueado
lock,unlocking,¿Qué está haciendo el <device_name>?,El <device_name> se está desbloqueando
lock,unlocking,¿Se está desbloqueando el <device_name>?,El <device_name> se está desbloqueando actualmente
lock,locking,¿El <device_name> está bloqueando?,El <device_name> está actualmente bloqueado
lock,locking,¿Cuál es el estado del <device_name>?,El <device_name> se está bloqueando
lock,jammed,¿Qué está haciendo el <device_name>?,El <device_name> está atascado
lock,jammed,¿Está el <device_name> atascado?,El <device_name> está actualmente bloqueado
light,on,¿Está activo el <device_name>?,El <device_name> está actualmente encendido
light,on,¿El <device_name> está encendido?,El <device_name> está encendido
