reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,lock.lock,back_door,Serrure de la porte arrière,,"Verrouille la <device_name>.","Je ne trouve pas de serrure de porte arrière à contrôler."
already_state,light.turn_on,hallway,Lumières du couloir,on,"Allume les <device_name>.","Les lumières du couloir sont déjà allumées."
already_state,switch.turn_off,garage,Prise du garage,off,"Éteins la <device_name>.","La prise du garage est déjà éteinte."
not_available,light.turn_off,allée,Éclairage d'allée,,Éteins le <device_name>,"Désolé, je ne trouve pas le <device_name> dans la maison."
already_state,blinds.close_cover,cuisine,Stores de cuisine,closed,Ferme le store <device_name>,"Le store <device_name> est déjà fermé, aucune action n’est nécessaire."
not_available,garage_door.close_cover,une_voiture,Garage pour une voiture,,Ferme le <device_name>,"Désolé, je ne trouve pas le <device_name> dans votre maison."
not_available,climate.turn_on,mysa_smart_thermostat,Thermostat intelligent Mysa pour plinthes électriques,,Allume le climat <device_name>,"Désolé, je ne trouve pas le dispositif <device_name> dans votre maison."
already_state,blinds.open_cover,fenêtre_arrière,Stores de fenêtre arrière,open,Ouvre <device_name>,"Le volet est déjà ouvert, aucune action n'est nécessaire."
not_available,climate.turn_on,bosch_bcc100,Commande connectée Bosch BCC100,,Allume le climat <device_name>.,"Désolé, je ne trouve pas le dispositif <device_name> dans la maison."
already_state,climate.turn_off,sinope_smart,Thermostat intelligent Sinopé,off,Éteins le climat de <device_name>,"Le climat de <device_name> est déjà éteint, aucune action n'est nécessaire."
not_available,fan.turn_off,étude_1,Fan d'étude,,Éteins le <device_name>,"Désolé, je ne trouve pas ce dispositif dans la maison."
already_state,lock.unlock,fichier_cabinet,Serrure de classeur,unlocked,Déverrouille <device_name>,"Désolé, <device_name> est déjà déverrouillé, aucune action n’est nécessaire."
not_available,climate.set_temperature,emerson_sensi_touch,Thermostat Wi-Fi Emerson Sensi Touch,,Régler la température du <device_name> à 18 degrés,"Désolé, je ne trouve pas le dispositif <device_name> dans la maison."
already_state,climate.turn_off,mysa_smart_thermostat,Thermostat intelligent Mysa pour plinthes électriques,off,Éteins le climat de <device_name>,"Le climat de <device_name> est déjà éteint, aucune action n'est nécessaire."
not_available,climate.set_temperature,transporteur_cor,Thermostat Wi-Fi Carrier Cor,,Régler la température du <device_name> à 23°C,"Désolé, je ne trouve pas le dispositif <device_name> dans la maison."
not_available,light.turn_off,front_playroom_homekit,Éclairage avant de la salle de jeux,,Éteins <device_name>,"Désolé, je ne trouve pas <device_name> dans la maison."
already_state,fan.turn_on,étude_2,Fan d'étude,on,Allume le ventilateur <device_name>,"Désolé, le ventilateur <device_name> est déjà allumé, aucune modification n’est nécessaire."
not_available,media_player.volume_up,salle_de_jeu_console,Console de salle de jeux,,Augmente le volume de <device_name>,"Désolé, je ne trouve pas <device_name> dans votre domicile."
not_available,vacuum.start,kitchen_xiaomi,Aspirateur de cuisine,,Démarre le <device_name>,"Désolé, je ne trouve pas le <device_name> dans la maison."
not_available,media_player.media_play_pause,bose_living,Salon Bose,,Lecture/pause du média sur <device_name>,"Désolé, je ne trouve pas le dispositif <device_name> dans la maison."
not_available,lock.lock,portail_électrique,Serrure de portail électrique,,Verrouille <device_name>,"Je suis désolé, je ne trouve pas cet appareil dans la maison."
