service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
light.turn_on,light.living_room_lamp,Wohnzimmerlampe,light.livng_room_lamp,"Bitte schalte die <device_name> ein.","Fehler: Entität light.livng_room_lamp nicht gefunden.","Ich versuche stattdessen die Wohnzimmerlampe."
climate.set_temperature,climate.hallway,Flurthermostat,climate.halway,"Stelle den <device_name> auf <temp_f> Grad ein.","Fehler: Entität climate.halway nicht gefunden.","Versuche es erneut mit dem Flurthermostat."
fan.turn_off,fan.office,Büroventilator,fan.offce,"Schalte den <device_name> aus.","Fehler: Entität fan.offce nicht gefunden.","Ich versuche den Büroventilator erneut."
media_player.turn_on,media_player.bose_living,Bose-Wohnzimmer,media_player.bose_livingroom,Schalte bitte die Bose‑Wohnzimmer‑Anlage ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.bose_livingroom', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem richtigen Gerät."
garage_door.stop_cover,garage_door.carport,Carport-Garagentor,garage_door.carportt,Stoppe das Carport-Garagentor.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.carportt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es mit dem richtigen Gerät."
vacuum.return_to_base,vacuum.entryway_eufy,Staubsammler im Eingangsbereich,vacuum.entryway_euffy,Kannst du bitte den Staubsammler im Eingangsbereich zurück zur Basis fahren?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.entryway_euffy', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich probiere es jetzt mit dem richtigen Gerät."
garage_door.toggle,garage_door.golfwagen,Golfwagentür,garage_door.golfwage,Bitte öffne die Garage.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.golfwage', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit der Golfwagentür."
switch.turn_on,switch.study_room_lights,Lichtschalter im Arbeitszimmer,switch.studyroom_lights,Schalte bitte das Licht im Arbeitszimmer ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.studyroom_lights', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät: Lichtschalter im Arbeitszimmer."
light.toggle,light.badezimmerspiegel,Spiegellichter,light.badezimmerspiegel_alt,Schalte die Spiegellichter bitte um.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.badezimmerspiegel_alt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich versuche es jetzt mit dem richtigen Gerät."
light.turn_off,light.downstairs_fireplace_mqtt,Kaminlicht im Erdgeschoss,light.downstairs_fireplace_mqtt_backup,Schalte das Kaminlicht im Erdgeschoss aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.downstairs_fireplace_mqtt_backup', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich probiere es jetzt mit dem korrekten Gerät."
