device_type,state,phrase,assistant_response
light,on,Czy urządzenie <device_name> jest włączone,Urządzenie <device_name> jest obecnie włączone
light,on,Czy możesz mi powiedzieć o stanie <device_name>,Urządzenie <device_name> jest włączone
light,off,Co robi <device_name>,Urządzenie <device_name> jest wyłączone
light,off,Czy urządzenie <device_name> jest wyłączone,Urządzenie <device_name> jest obecnie wyłączone
fan,on,Czy urządzenie <device_name> jest włączone,Urządzenie <device_name> jest obecnie włączone
fan,on,"Czy możesz sprawdzić, czy <device_name> działa",Urządzenie <device_name> jest włączone
fan,off,Czy urządzenie <device_name> jest wyłączone,Urządzenie <device_name> jest obecnie wyłączone
fan,off,Jaki jest bieżący stan <device_name>,Urządzenie <device_name> jest wyłączone
garage_door,open,Czy urządzenie <device_name> jest otwarte,Urządzenie <device_name> jest obecnie otwarte
garage_door,open,"Czy możesz mi powiedzieć, czy <device_name> jest otwarte",Urządzenie <device_name> jest otwarte
garage_door,closed,Czy urządzenie <device_name> jest zamknięte,Urządzenie <device_name> jest obecnie zamknięte
garage_door,closed,Jaki jest stan <device_name>,Urządzenie <device_name> jest zamknięte
garage_door,opening,Jest otwarciem <device_name>,Urządzenie <device_name> jest obecnie otwierane
garage_door,opening,Co robi <device_name>,Otwiera się <device_name>
garage_door,closing,Czy <device_name> jest zamykany,Urządzenie <device_name> jest obecnie zamykane
garage_door,closing,"Czy możesz mi powiedzieć, czy urządzenie <device_name> się zamyka",<device_name> się zamyka
blinds,open,Czy urządzenie <device_name> jest otwarte,Urządzenie <device_name> jest obecnie otwarte
blinds,open,Jaki jest stan <device_name>,<device_name> są otwarte
blinds,closed,Czy urządzenie <device_name> jest zamknięte,Urządzenie <device_name> jest obecnie zamknięte
blinds,closed,"Czy możesz sprawdzić, czy <device_name> jest zamknięte",<device_name> są zamknięte
blinds,opening,Czy otwierają się <device_name>,<device_name> jest obecnie otwierany
blinds,opening,Co robi <device_name>,Otwierają się <device_name>
blinds,closing,Czy <device_name> się zamyka,Urządzenie <device_name> jest obecnie zamykane
blinds,closing,Jaki jest stan <device_name>,<device_name> zamykają się
media_player,on,Czy urządzenie <device_name> jest włączone,Urządzenie <device_name> jest obecnie włączone
media_player,on,Jaki jest bieżący stan <device_name>,Urządzenie <device_name> jest włączone
media_player,off,Czy urządzenie <device_name> jest wyłączone,Urządzenie <device_name> jest obecnie wyłączone
media_player,off,"Czy możesz mi powiedzieć, czy urządzenie <device_name> jest wyłączone",Urządzenie <device_name> jest wyłączone
media_player,idle,Co robi <device_name>,Urządzenie <device_name> jest bezczynne
media_player,idle,Czy urządzenie <device_name> jest bezczynne,Urządzenie <device_name> jest obecnie bezczynne
media_player,playing,Czy urządzenie <device_name> odtwarza,Urządzenie <device_name> aktualnie odtwarza
media_player,playing,"Czy możesz mi powiedzieć, czy urządzenie <device_name> odtwarza",Urządzenie <device_name> odtwarza
media_player,paused,Jaki jest stan <device_name>,Urządzenie <device_name> jest wstrzymane
media_player,paused,Czy <device_name> jest wstrzymane?,Urządzenie <device_name> jest obecnie wstrzymane
media_player,standby,Co robi <device_name>,Urządzenie <device_name> jest w trybie gotowości
media_player,standby,Czy <device_name> jest w trybie gotowości,Urządzenie <device_name> jest obecnie w trybie gotowości
lock,unlocked,Czy <device_name> jest odblokowane,Urządzenie <device_name> jest obecnie odblokowane
lock,unlocked,Jaki jest stan <device_name>,Urządzenie <device_name> jest odblokowane
lock,locked,Czy urządzenie <device_name> jest zablokowane,Urządzenie <device_name> jest obecnie zablokowane
lock,locked,"Czy możesz mi powiedzieć, czy <device_name> jest zablokowane?",Urządzenie <device_name> jest zablokowane
lock,unlocking,Co robi <device_name>,Urządzenie <device_name> odblokowuje się
lock,unlocking,Czy <device_name> jest odblokowywany,Urządzenie <device_name> jest obecnie odblokowywane
lock,locking,Czy <device_name> jest blokowany,Urządzenie <device_name> jest aktualnie blokowane
lock,locking,Jaki jest stan <device_name>,Urządzenie <device_name> jest blokowane
lock,jammed,Co robi <device_name>,Urządzenie <device_name> jest zacięte
lock,jammed,Czy <device_name> jest zacięty,Urządzenie <device_name> jest aktualnie zacięte
light,on,Czy <device_name> jest aktywny,Urządzenie <device_name> jest obecnie włączone
light,on,Czy urządzenie <device_name> jest zasilane,Urządzenie <device_name> jest włączone
light,off,Czy urządzenie <device_name> jest dezaktywowane,Urządzenie <device_name> jest obecnie wyłączone
fan,on,Czy <device_name> się kręci,Urządzenie <device_name> jest obecnie włączone
fan,on,Czy <device_name> wydmuchuje powietrze,Urządzenie <device_name> jest włączone
fan,off,Czy urządzenie <device_name> jest bezczynne,Urządzenie <device_name> jest obecnie wyłączone
fan,off,Czy <device_name> jest nadal,Urządzenie <device_name> jest wyłączone
lock,unlocked,Czy urządzenie <device_name> jest otwarte,Urządzenie <device_name> jest obecnie odblokowane
lock,unlocked,Czy <device_name> jest niezabezpieczone,Urządzenie <device_name> jest odblokowane
lock,locked,Czy <device_name> jest bezpieczne,Urządzenie <device_name> jest obecnie zablokowane
lock,locked,Czy urządzenie <device_name> jest zapieczętowane,Urządzenie <device_name> jest zablokowane
garage_door,open,Czy <device_name> jest rozpieczętowany,Urządzenie <device_name> jest obecnie otwarte
garage_door,closed,Czy urządzenie <device_name> jest zamknięte,Urządzenie <device_name> jest obecnie zamknięte
blinds,open,Czy <device_name> jest podniesione,Urządzenie <device_name> jest obecnie otwarte
blinds,closed,Czy <device_name> jest rozebrany,Urządzenie <device_name> jest obecnie zamknięte
light,on,Czy świeci się dioda <device_name>?,Urządzenie <device_name> jest obecnie włączone
light,off,Czy urządzenie <device_name> jest wyłączone,"Tak, <device_name> jest wyłączone"
light,on,"Uh, możesz sprawdzić, czy <device_name> jest włączone czy coś",Urządzenie <device_name> jest obecnie włączone
light,off,"Hej, co się dzieje z <device_name>, czy jest wyłączone",Urządzenie <device_name> jest obecnie wyłączone
fan,on,Podobnie <device_name> odlatuje,<device_name> rzeczywiście jest włączone
fan,off,"Masz pomysł, czy <device_name> jest wyłączone",Urządzenie <device_name> jest obecnie wyłączone
lock,unlocked,"Hej, czy <device_name> jest odblokowane czy co",Urządzenie <device_name> jest obecnie odblokowane
lock,locked,"Czy możesz mi powiedzieć, czy urządzenie <device_name> jest zablokowane?",Urządzenie <device_name> jest rzeczywiście zablokowane
garage_door,open,"Hej, zostawiliśmy <device_name> otwarte","Tak, <device_name> jest obecnie otwarta"
garage_door,closed,Czy urządzenie <device_name> jest faktycznie zamknięte,Urządzenie <device_name> jest rzeczywiście zamknięte
blinds,open,Czy <device_name> działa czy co,Urządzenie <device_name> jest obecnie otwarte
blinds,closed,Podobnie obniżyliśmy <device_name>,<device_name> rzeczywiście są zamknięte
light,on,"Hej, świeci <device_name>",Urządzenie <device_name> jest obecnie włączone
light,off,"Uh, <device_name> jest wyłączone",<device_name> rzeczywiście jest wyłączone
fan,on,"Czy możesz potwierdzić, czy <device_name> jest uruchomione",Urządzenie <device_name> jest obecnie włączone
fan,off,Czy <device_name> robi sobie przerwę?,Urządzenie <device_name> jest w tej chwili wyłączone
lock,unlocked,Czy urządzenie <device_name> jest otwarte,Urządzenie <device_name> jest obecnie odblokowane
lock,locked,Czy urządzenie <device_name> jest przykręcone,Urządzenie <device_name> jest rzeczywiście zablokowane
light,on,Czy urządzenie <device_name> jest wyłączone,Właściwie <device_name> jest aktualnie włączone
light,off,Czy urządzenie <device_name> jest włączone,"Nie, urządzenie <device_name> jest teraz wyłączone"
fan,on,Czy urządzenie <device_name> jest wyłączone,Właściwie <device_name> jest w tej chwili włączone
fan,off,Czy <device_name> wydmuchuje powietrze,"Przepraszamy, urządzenie <device_name> jest obecnie wyłączone"
lock,locked,Czy <device_name> jest odblokowane,"Nie, <device_name> jest obecnie zablokowana"
lock,unlocked,Czy urządzenie <device_name> jest zablokowane,"Nie, urządzenie <device_name> jest aktualnie odblokowane"
garage_door,open,Czy urządzenie <device_name> jest zamknięte,"Nie, <device_name> jest obecnie otwarta"
garage_door,closed,Czy urządzenie <device_name> jest otwarte,"Nie, urządzenie <device_name> jest obecnie zamknięte"
blinds,open,Czy urządzenie <device_name> jest zamknięte,"Nie, urządzenie <device_name> jest obecnie otwarte"
blinds,closed,Czy urządzenie <device_name> jest otwarte,"Nie, urządzenie <device_name> jest obecnie zamknięte"
light,on,"Uh, możesz sprawdzić, czy <device_name> jest wyłączone","Nie, urządzenie <device_name> jest faktycznie włączone"
light,off,"Hej, świeci <device_name>","Nie, urządzenie <device_name> jest aktualnie wyłączone"
fan,on,Czy <device_name> robi sobie przerwę?,"Nie, <device_name> jest teraz włączone"
fan,off,Czy <device_name> się oddala?,"Nie, urządzenie <device_name> jest w tej chwili wyłączone"
lock,unlocked,Czy urządzenie <device_name> jest przykręcone,"Nie, urządzenie <device_name> jest aktualnie odblokowane"
lock,locked,Czy <device_name> jest bezpłatne i przejrzyste,"Nie, <device_name> jest faktycznie zablokowane"
garage_door,open,Czy urządzenie <device_name> jest zamknięte,"Nie, <device_name> jest obecnie otwarta"
garage_door,closed,Czy zostawiliśmy <device_name> otwarte,"Nie, <device_name> jest zamknięte"
blinds,open,Czy obniżyliśmy <device_name>,"Nie, <device_name> jest rzeczywiście otwarte"
blinds,closed,Czy <device_name> jest podniesione,"Nie, urządzenie <device_name> jest obecnie zamknięte"
media_player,on,Czy urządzenie <device_name> jest wyłączone,"Nie, urządzenie <device_name> jest aktualnie włączone"
media_player,off,Czy urządzenie <device_name> odtwarza,"Nie, urządzenie <device_name> jest teraz wyłączone"
media_player,idle,Czy <device_name> odtwarza muzykę,"Nie, urządzenie <device_name> jest w tej chwili bezczynne"
media_player,playing,Czy <device_name> jest wstrzymane?,"Nie, urządzenie <device_name> faktycznie odtwarza"
media_player,paused,Czy <device_name> jest w trybie gotowości,"Nie, urządzenie <device_name> jest teraz wstrzymane"
media_player,standby,Czy urządzenie <device_name> odtwarza,"Nie, <device_name> jest w trybie gotowości"
garage_door,opening,Czy <device_name> jest zamykany,"Nie, urządzenie <device_name> jest aktualnie otwierane"
garage_door,closing,Jest otwarciem <device_name>,"Nie, urządzenie <device_name> jest obecnie zamykane"
blinds,opening,Czy <device_name> się zamyka,"Nie, otwiera się <device_name>"
blinds,closing,Czy otwierają się <device_name>,"Nie, urządzenie <device_name> jest zamykane"
lock,unlocking,Czy <device_name> jest blokowany,"Nie, <device_name> się odblokowuje"
lock,locking,Czy <device_name> jest odblokowywany,"Nie, <device_name> się blokuje"
lock,jammed,Czy <device_name> jest odblokowane,"Nie, <device_name> jest zacięty"
light,on,Czy urządzenie <device_name> jest ciemne,"Nie, urządzenie <device_name> jest aktualnie włączone"
light,off,Czy <device_name> świeci,"Nie, <device_name> jest wyłączone"
fan,on,Czy urządzenie <device_name> jest bezczynne,"Nie, urządzenie <device_name> jest faktycznie włączone"
fan,off,Czy <device_name> wydmuchuje powietrze,"Nie, urządzenie <device_name> jest teraz wyłączone"
lock,unlocked,Czy <device_name> jest bezpieczne,"Nie, urządzenie <device_name> jest aktualnie odblokowane"
lock,locked,Czy urządzenie <device_name> jest otwarte,"Nie, <device_name> jest zablokowana"
lock,jammed,Czy <device_name> jest blokowany,"Nie, <device_name> jest zacięty"
light,on,Czy urządzenie <device_name> jest wyłączone,"Nie, <device_name> jest włączone"
light,off,Czy <device_name> jest aktywny,"Nie, <device_name> jest wyłączone"
light,on,Czy urządzenie <device_name> jest włączone czy wyłączone,Urządzenie <device_name> jest włączone
light,off,Czy urządzenie <device_name> jest włączone czy wyłączone,Urządzenie <device_name> jest wyłączone
fan,on,Czy urządzenie <device_name> jest włączone czy wyłączone,Urządzenie <device_name> jest włączone
fan,off,Czy urządzenie <device_name> jest włączone czy wyłączone,Urządzenie <device_name> jest wyłączone
garage_door,open,Czy <device_name> jest otwarta czy zamknięta,Urządzenie <device_name> jest otwarte
garage_door,closed,Czy <device_name> jest otwarta czy zamknięta,Urządzenie <device_name> jest zamknięte
blinds,open,Czy <device_name> jest otwarte czy zamknięte,<device_name> są otwarte
