service_name,device_name,phrase
blinds.close_cover,cocina,Bajar las persianas de la cocina
blinds.close_cover,sala_de_estar,Cierra las persianas del salón.
blinds.close_cover,recamara_principal,Cierra las persianas del dormitorio principal.
blinds.open_cover,cocina,¿Podrías subir las persianas de la cocina?
blinds.open_cover,sala_de_estar,Abre las persianas del salón.
blinds.open_cover,recamara_principal,Levanta las persianas del dormitorio principal.
blinds.stop_cover,cocina,Detén las persianas de la cocina donde están.
blinds.stop_cover,sala_de_estar,Deja de ajustar las persianas del salón
blinds.stop_cover,recamara_principal,"Por favor, detengan las persianas del dormitorio principal."
blinds.toggle,cocina,Cambiar el estado de las persianas de la cocina.
blinds.toggle,sala_de_estar,Alternar las persianas de la sala de estar.
blinds.toggle,recamara_principal,Invierte las persianas del dormitorio principal
fan.decrease_speed,ático_1,Reduzca la velocidad del ventilador del ático
fan.decrease_speed,ático_1,Baja el ventilador del ático
fan.decrease_speed,ático,Reduzca la velocidad del ventilador en el ático.
fan.decrease_speed,dormitorio_master,Reduzca la velocidad del ventilador del dormitorio principal
fan.decrease_speed,cochera,Baja el ventilador del garaje
fan.decrease_speed,habitación_de_huéspedes,Disminuir la velocidad del ventilador en la habitación de invitados.
fan.decrease_speed,pasillo,Bajar la velocidad del ventilador en el pasillo.
fan.decrease_speed,cocina,Reducir la velocidad del ventilador de la cocina
fan.decrease_speed,cocina,Baja el ventilador de la cocina
fan.decrease_speed,sala_de_estar,Disminuir la velocidad del ventilador del salón.
fan.decrease_speed,sala_de_estar,Baja el ventilador de la sala
fan.decrease_speed,estudiar,Reducir la velocidad del ventilador en el estudio.
fan.increase_speed,ático_1,Aumentar la velocidad del ventilador del ático.
fan.increase_speed,ático,Acelera el ventilador en el ático.
fan.increase_speed,dormitorio_master,Aumente la velocidad del ventilador del dormitorio principal
fan.increase_speed,cochera,Sube el ventilador en el garaje.
fan.increase_speed,habitación_de_huéspedes,Aumentar la velocidad del ventilador en la habitación de invitados.
fan.increase_speed,pasillo,Aumenta la velocidad del ventilador en el pasillo.
fan.increase_speed,sala_de_estar,Aumentar la velocidad del ventilador del salón.
fan.increase_speed,estudiar,Aumente la velocidad del ventilador en el estudio.
fan.toggle,ático_2,Activar el ventilador del ático
fan.toggle,ático,Cambiar el estado del ventilador en el ático.
fan.toggle,sótano,Activar el ventilador del sótano
fan.toggle,dormitorio_master,Cambiar el estado del ventilador del dormitorio principal.
fan.toggle,dormitorio,Activar el ventilador del dormitorio
fan.toggle,mesa_de_comedor_arriba,Encienda el ventilador encima de la mesa del comedor.
fan.toggle,entrada_de_coches,Gira el ventilador de entrada
fan.toggle,cochera,Gira el ventilador en el garaje.
